Date,Index_Total,Index_HP,Index_HC
01/01/2023,17648,7748,9899
02/01/2023,17677,7757,9920
03/01/2023,17703,7768,9934
04/01/2023,17729,7776,9952
05/01/2023,17757,7796,9961
06/01/2023,17782,7802,9979
07/01/2023,17807,7819,9987
08/01/2023,17834,7837,9996
09/01/2023,17866,7853,10012
10/01/2023,17893,7863,10029
11/01/2023,17922,7875,10047
12/01/2023,17956,7894,10061
13/01/2023,17990,7901,10088
14/01/2023,18015,7910,10104
15/01/2023,18047,7918,10129
16/01/2023,18080,7937,10142
17/01/2023,18113,7944,10168
18/01/2023,18146,7956,10189
19/01/2023,18182,7970,10212
20/01/2023,18224,7983,10241
21/01/2023,18265,7997,10268
22/01/2023,18306,8011,10294
23/01/2023,18358,8029,10328
24/01/2023,18404,8041,10362
25/01/2023,18447,8061,10386
26/01/2023,18489,8079,10410
27/01/2023,18534,8091,10443
28/01/2023,18580,8106,10474
29/01/2023,18622,8116,10506
30/01/2023,18650,8128,10521
31/01/2023,18689,8139,10549
01/02/2023,18721,8148,10573
02/02/2023,18759,8163,10596
03/02/2023,18793,8169,10624
04/02/2023,18828,8180,10648
05/02/2023,18865,8193,10671
06/02/2023,18900,8207,10693
07/02/2023,18934,8221,10713
08/02/2023,18965,8230,10735
09/02/2023,18994,8239,10754
10/02/2023,19037,8249,10787
11/02/2023,19053,8260,10792
12/02/2023,19068,8272,10796
13/02/2023,19090,8285,10805
14/02/2023,19109,8295,10813
15/02/2023,19139,8318,10821
16/02/2023,19171,8331,10840
17/02/2023,19199,8339,10859
18/02/2023,19223,8343,10879
19/02/2023,19246,8351,10895
20/02/2023,19282,8357,10924
21/02/2023,19311,8366,10945
22/02/2023,19342,8378,10963
23/02/2023,19371,8392,10978
24/02/2023,19399,8398,11000
25/02/2023,19424,8410,11014
26/02/2023,19451,8422,11028
27/02/2023,19485,8437,11047
28/02/2023,19519,8446,11072
01/03/2023,19552,8457,11095
02/03/2023,19585,8467,11117
03/03/2023,19621,8476,11144
04/03/2023,19653,8489,11163
05/03/2023,19691,8503,11187
06/03/2023,19725,8517,11208
07/03/2023,19753,8523,11229
08/03/2023,19782,8533,11248
09/03/2023,19819,8546,11273
10/03/2023,19845,8553,11291
11/03/2023,19871,8565,11306
12/03/2023,19896,8575,11321
13/03/2023,19924,8587,11336
14/03/2023,19949,8594,11355
15/03/2023,19973,8606,11367
16/03/2023,19994,8624,11370
17/03/2023,20025,8631,11393
18/03/2023,20047,8636,11411
19/03/2023,20063,8639,11424
20/03/2023,20083,8646,11436
21/03/2023,20113,8656,11457
22/03/2023,20135,8662,11472
23/03/2023,20157,8674,11482
24/03/2023,20181,8680,11500
25/03/2023,20198,8689,11509
26/03/2023,20223,8698,11524
27/03/2023,20250,8711,11539
28/03/2023,20271,8718,11553
29/03/2023,20295,8729,11565
30/03/2023,20321,8741,11579
31/03/2023,20339,8747,11592
01/04/2023,20353,8755,11598
02/04/2023,20376,8763,11613
03/04/2023,20403,8775,11627
04/04/2023,20433,8788,11645
05/04/2023,20464,8802,11662
06/04/2023,20490,8819,11671
07/04/2023,20517,8840,11677
08/04/2023,20538,8858,11680
09/04/2023,20567,8876,11690
10/04/2023,20590,8896,11693
11/04/2023,20598,8899,11698
12/04/2023,20602,8902,11700
13/04/2023,20609,8907,11702
14/04/2023,20614,8910,11704
15/04/2023,20620,8914,11706
16/04/2023,20626,8917,11708
17/04/2023,20645,8935,11710
18/04/2023,20684,8960,11724
19/04/2023,20716,8986,11730
20/04/2023,20748,9010,11738
21/04/2023,20772,9022,11749
22/04/2023,20799,9045,11753
23/04/2023,20829,9066,11763
24/04/2023,20853,9084,11768
25/04/2023,20866,9094,11772
26/04/2023,20888,9107,11780
27/04/2023,20905,9122,11783
28/04/2023,20926,9140,11786
29/04/2023,20945,9155,11790
30/04/2023,20960,9166,11793
01/05/2023,20990,9186,11803
02/05/2023,21014,9206,11808
03/05/2023,21026,9216,11810
04/05/2023,21043,9231,11811
