Date,PMax
28/08/2022 21:29,0.670
29/08/2022 19:48,3.030
30/08/2022 13:32,4.230
31/08/2022 20:56,3.050
01/09/2022 11:16,2.890
02/09/2022 11:42,2.950
03/09/2022 08:26,3.230
04/09/2022 15:24,5.450
05/09/2022 13:31,3.290
06/09/2022 13:48,5.050
07/09/2022 11:25,3.420
08/09/2022 07:38,3.310
09/09/2022 13:37,5.900
10/09/2022 09:53,4.520
11/09/2022 10:17,3.900
12/09/2022 18:58,3.700
13/09/2022 13:34,4.700
14/09/2022 16:45,3.200
15/09/2022 13:43,3.870
16/09/2022 21:55,3.060
17/09/2022 14:06,4.310
18/09/2022 21:36,1.920
19/09/2022 09:20,4.620
20/09/2022 18:19,3.050
21/09/2022 18:27,3.960
22/09/2022 18:49,5.300
23/09/2022 16:37,3.840
24/09/2022 03:38,2.630
25/09/2022 20:54,4.230
26/09/2022 18:52,3.730
27/09/2022 13:36,4.580
28/09/2022 14:37,4.200
29/09/2022 14:21,4.760
30/09/2022 13:56,6.750
01/10/2022 04:08,5.030
02/10/2022 14:14,4.970
03/10/2022 14:17,3.910
04/10/2022 13:46,5.000
05/10/2022 14:00,4.700
06/10/2022 13:43,3.800
07/10/2022 08:03,4.890
08/10/2022 13:47,4.670
09/10/2022 14:21,4.740
10/10/2022 14:11,4.700
11/10/2022 11:16,3.550
12/10/2022 20:49,3.640
13/10/2022 14:09,4.850
14/10/2022 13:39,3.900
15/10/2022 08:57,3.930
16/10/2022 18:58,4.690
17/10/2022 13:48,4.660
18/10/2022 14:22,4.760
19/10/2022 13:34,4.020
20/10/2022 14:41,6.280
21/10/2022 11:45,3.180
22/10/2022 11:13,4.370
23/10/2022 10:06,6.000
24/10/2022 07:15,2.820
25/10/2022 18:19,3.370
26/10/2022 18:06,4.980
27/10/2022 14:09,4.880
28/10/2022 13:06,4.010
29/10/2022 13:39,2.600
30/10/2022 18:13,5.590
31/10/2022 16:11,6.100
01/11/2022 11:22,5.380
02/11/2022 08:34,5.050
03/11/2022 18:09,5.790
04/11/2022 14:18,4.850
05/11/2022 13:38,6.870
06/11/2022 15:12,7.150
07/11/2022 14:27,4.910
08/11/2022 13:56,6.790
09/11/2022 03:24,4.950
10/11/2022 13:54,5.980
11/11/2022 15:09,5.350
12/11/2022 13:38,6.880
13/11/2022 15:09,5.980
14/11/2022 13:56,5.140
15/11/2022 13:35,6.710
16/11/2022 13:38,6.430
17/11/2022 14:24,4.870
18/11/2022 14:27,4.870
19/11/2022 03:29,6.050
20/11/2022 03:28,6.030
21/11/2022 04:07,6.070
22/11/2022 03:19,5.920
23/11/2022 03:19,6.020
24/11/2022 05:51,6.150
25/11/2022 03:58,5.970
26/11/2022 03:34,5.970
27/11/2022 16:29,6.850
28/11/2022 04:54,6.140
29/11/2022 03:35,5.930
30/11/2022 08:38,7.430
01/12/2022 04:09,5.940
02/12/2022 04:10,5.950
03/12/2022 04:21,6.060
04/12/2022 15:59,8.700
05/12/2022 03:09,5.720
06/12/2022 13:52,7.310
07/12/2022 09:03,5.740
08/12/2022 05:39,6.120
09/12/2022 14:17,5.620
10/12/2022 15:20,5.020
11/12/2022 14:03,9.190
12/12/2022 14:59,5.030
13/12/2022 14:03,6.300
14/12/2022 14:48,6.070
15/12/2022 06:15,6.140
16/12/2022 04:34,5.720
17/12/2022 13:47,5.690
18/12/2022 16:18,7.180
19/12/2022 14:09,7.820
20/12/2022 03:40,5.600
21/12/2022 04:13,5.430
22/12/2022 03:31,4.860
23/12/2022 05:01,4.980
24/12/2022 03:11,2.640
25/12/2022 03:17,4.740
26/12/2022 03:35,4.790
27/12/2022 03:36,4.820
28/12/2022 03:40,4.820
29/12/2022 03:44,4.790
30/12/2022 03:36,4.810
31/12/2022 03:41,4.810
01/01/2023 15:37,7.050
02/01/2023 14:51,5.050
03/01/2023 17:10,5.170
04/01/2023 09:09,7.650
05/01/2023 05:11,4.850
06/01/2023 13:45,7.430
07/01/2023 09:12,7.030
08/01/2023 14:51,7.650
09/01/2023 14:27,6.850
10/01/2023 14:55,8.510
11/01/2023 13:32,6.000
12/01/2023 14:42,6.310
13/01/2023 14:13,5.000
14/01/2023 04:57,4.980
15/01/2023 13:42,7.020
16/01/2023 14:39,7.040
17/01/2023 14:28,6.320
18/01/2023 14:52,6.480
19/01/2023 14:19,6.340
20/01/2023 14:15,8.520
21/01/2023 13:58,7.090
22/01/2023 13:40,8.980
23/01/2023 13:53,7.180
24/01/2023 13:53,8.060
25/01/2023 14:43,6.830
26/01/2023 14:43,7.660
27/01/2023 13:34,6.670
28/01/2023 05:07,6.360
29/01/2023 03:17,4.860
30/01/2023 06:54,6.180
31/01/2023 13:34,5.210
01/02/2023 15:09,5.150
02/02/2023 14:41,6.240
03/02/2023 14:21,7.660
04/02/2023 14:18,7.250
05/02/2023 15:28,5.570
06/02/2023 20:24,5.740
